star_id,tmass_id,tmass_distance,tmass_angle,ra,dec,start_time,end_time,jmag,hmag,kmag,lcfilter,npts
XO-DR1_1000,2MASS J16035393+2812400,6.603107,116.974754,240.9729,28.212,2453080.14,2453566.05,9.64,9.094,8.962,W (XO),3257
XO-DR1_1001,2MASS J15514280+3030135,1.315652,71.823914,237.928,30.5036,2453080.14,2453566.05,10.509,10.264,10.187,W (XO),3247
XO-DR1_1002,2MASS J16131946+3132390,8.592723,-84.758965,243.3339,31.544,2453080.14,2453566.05,10.762,10.556,10.462,W (XO),2501
XO-DR1_1003,2MASS J15442897+2948132,5.73258,58.879395,236.1192,29.8028,2453080.14,2453566.05,10.585,10.334,10.284,W (XO),3164
XO-DR1_1004,2MASS J16034343+3229404,1.727352,85.337669,240.9304,32.4945,2453080.14,2453566.05,10.425,10.13,10.08,W (XO),3300
XO-DR1_1005,2MASS J15563220+3127183,1.268933,129.246094,239.1339,31.4553,2453080.14,2453566.05,9.81,9.244,9.158,W (XO),3257
XO-DR1_1007,,,,240.7542,27.6546,2453080.14,2453566.04,,,,W (XO),1679
XO-DR1_1008,2MASS J15584150+3047296,1.431525,135.577927,239.6726,30.7919,2453080.14,2453566.05,10.518,10.237,10.183,W (XO),3256
XO-DR1_1009,2MASS J16032628+3208300,2.34389,112.770821,240.8588,32.1419,2453080.14,2453566.05,10.043,9.582,9.472,W (XO),3253
XO-DR1_100,2MASS J16132627+3027317,9.664953,-81.711174,243.3625,30.4584,2453080.14,2453566.05,7.447,6.941,6.835,W (XO),3441
XO-DR1_1010,,,,243.6575,31.0431,2453080.14,2453566.05,,,,W (XO),3004
XO-DR1_1011,2MASS J15515595+3100498,12.310738,-177.011841,237.9833,31.0173,2453080.14,2453566.05,10.472,10.156,10.058,W (XO),2839
XO-DR1_1012,2MASS J16090225+2738255,14.058909,117.842934,242.2555,27.6423,2453080.14,2453566.05,10.69,10.41,10.332,W (XO),3202
XO-DR1_1013,2MASS J15434807+2843566,3.351979,-11.626785,235.9505,28.7315,2453080.14,2453566.05,9.897,9.412,9.328,W (XO),3154
XO-DR1_1014,2MASS J16095081+3406236,16.714624,20.426142,242.4598,34.1022,2453080.14,2453566.05,10.99,10.686,10.62,W (XO),3236
XO-DR1_1015,,,,240.2612,34.1915,2453080.14,2453566.05,,,,W (XO),2914
XO-DR1_1016,2MASS J15500867+3058268,2.207245,112.638275,237.5355,30.9744,2453080.14,2453566.03,10.451,10.15,10.126,W (XO),3044
XO-DR1_1017,2MASS J16110385+3150327,3.114001,-49.130608,242.7668,31.8419,2453080.14,2453566.05,10.144,9.734,9.651,W (XO),3248
